date,host,opening,opening_short,opponent_avg_move_time_opening,opponent_avg_move_time_middle_game,opponent_avg_move_time_end_game,opponent_elo,opponent_evaluation_opening_inaccuracy,opponent_evaluation_opening_mistake,opponent_evaluation_opening_blunder,opponent_evaluation_middle_game_inaccuracy,opponent_evaluation_middle_game_mistake,opponent_evaluation_middle_game_blunder,opponent_evaluation_end_game_inaccuracy,opponent_evaluation_end_game_mistake,opponent_evaluation_end_game_blunder,phases_opening,phases_middle_game,phases_end_game,player_avg_move_time_opening,player_avg_move_time_middle_game,player_avg_move_time_end_game,player_elo,player_evaluation_opening_inaccuracy,player_evaluation_opening_mistake,player_evaluation_opening_blunder,player_evaluation_middle_game_inaccuracy,player_evaluation_middle_game_mistake,player_evaluation_middle_game_blunder,player_evaluation_end_game_inaccuracy,player_evaluation_end_game_mistake,player_evaluation_end_game_blunder,player_color,result,time_class,time_control,url,username
2022-05-26 16:51:04,lichess.org,Pirc Defense: Classical Variation,Pirc Defense,0.25,2.88,2.88,1737,2,2,2,10,11,11,0,0,0,8,51,51,1.0,2.2308,2.2308,1779,1,0,0,1,1,1,0,0,0,white,"['white', None]",blitz,180+0,https://lichess.org/vf8yqCKh,pro100wdupe
2022-05-11 20:26:37,lichess.org,Vienna Game,Vienna Game,0.0,2.875,2.2692,1792,1,1,1,8,11,11,14,14,14,3,48,104,1.5,5.9167,3.3462,1790,0,0,0,4,2,0,2,0,0,white,"['black', None]",blitz,180+0,https://lichess.org/PjE2bZ8r,pro100wdupe
2022-05-11 20:22:35,lichess.org,Sicilian Defense: Chekhover Variation,Sicilian Defense,1.0,6.2,6.2,1772,0,0,0,0,0,0,0,0,0,7,30,30,0.3333,5.9333,5.9333,1778,2,2,2,6,6,6,0,0,0,black,"['black', None]",blitz,180+0,https://lichess.org/y1OSLD9A,pro100wdupe
2022-05-05 07:52:37,lichess.org,Indian Defense: Knights Variation,Indian Defense,0.0,1.7917,2.5211,1789,0,0,0,1,1,1,1,1,1,3,48,142,0.0,2.3333,2.2676,1778,1,1,1,10,11,11,22,22,22,black,"['draw', 'timeout']",blitz,180+0,https://lichess.org/Yn1BxD8r,pro100wdupe
2022-05-03 10:04:19,lichess.org,Indian Defense: Normal Variation,Indian Defense,0.5,3.3529,3.2778,1782,0,0,0,3,2,0,0,0,0,3,67,72,0.0,3.9697,3.8889,1767,1,1,1,11,15,16,1,1,1,black,"['black', None]",blitz,180+0,https://lichess.org/zPpnBM30,pro100wdupe
2022-04-30 19:18:02,lichess.org,Torre Attack,Torre Attack,0.6667,2.4828,2.5938,1770,0,0,0,4,2,1,1,1,1,5,58,63,0.5,3.8966,3.8065,1778,1,1,1,11,12,13,0,0,0,black,"['white', 'timeout']",blitz,180+0,https://lichess.org/XbEAcWRi,pro100wdupe
2022-04-25 12:29:50,lichess.org,Sicilian Defense: Closed,Sicilian Defense,0.5,3.6452,3.1522,1832,0,0,0,2,2,2,1,1,1,3,61,92,0.0,3.5,3.2826,1787,1,1,1,10,13,13,6,7,7,black,"['white', None]",blitz,180+0,https://lichess.org/QFJyK06t,pro100wdupe
2022-04-25 07:13:29,lichess.org,Sicilian Defense: Alapin Variation,Sicilian Defense,0.0,3.5833,3.0517,1785,1,1,1,10,15,17,9,10,10,3,73,117,0.5,3.5676,2.9153,1776,0,0,0,4,2,1,2,1,1,white,"['white', 'timeout']",blitz,180+0,https://lichess.org/Cj4HiNsr,pro100wdupe
2022-04-25 07:09:39,lichess.org,"Sicilian Defense: Alapin Variation, Barmen Defense, Central Exchange",Sicilian Defense,1.3333,5.0,5.0,1776,3,3,3,7,7,7,0,0,0,12,39,39,0.5,4.75,4.75,1764,1,0,0,1,1,1,0,0,0,white,"['white', None]",blitz,180+0,https://lichess.org/PokVpAGk,pro100wdupe
2022-04-24 15:57:18,lichess.org,Sicilian Defense: Smith-Morra Gambit,Sicilian Defense,3.5,3.5,2.8475,1752,0,0,0,6,2,0,0,0,0,3,80,117,0.0,4.225,3.0862,1777,1,1,1,14,16,17,8,9,9,black,"['white', 'timeout']",blitz,180+0,https://lichess.org/UFhsmiMh,pro100wdupe
